N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
9,N/A,01073002306,Jefferson County,Alabama,2018,52,52,52,49,34,64,33,2.1,-1.6,36,5.4,-8.9,34,4.1,2.5,91,72,82.6,34,82.9,77.3,96,57,81.9,52,59,44,78,5.9,20.8,29,N/A,N/A,69,1.6,14.1,2,4,1,85,60,90,N/A,N/A,N/A,56,63,49,79,5.7,15.8,47,N/A,N/A,75,86.6,93.1,49,41.5,41.6,23,25.5,15.6,50,92.3,92.3
10,N/A,01073002306,Jefferson County,Alabama,2019,57,60,54,55,44,66,29,1.8,-2.9,58,16.5,24,34,4.1,2.5,92,72.5,83.4,40,83.9,80.9,97,56.5,82.5,54,65,44,48,13.7,9.7,77,N/A,N/A,70,8.6,23.6,2,4,1,85,60,90,N/A,N/A,N/A,62,71,52,76,9.2,17.4,66,N/A,N/A,73,87,92.6,52,41.6,41.3,38,25.3,21.1,45,93.3,92.6
11,N/A,01073002306,Jefferson County,Alabama,2020,56,57,55,60,53,66,39,1.5,-0.6,67,25.2,48,34,4.1,2.5,90,72.8,83.1,44,84.9,83.3,97,55.8,82.5,42,38,46,33,7.4,-4.9,57,N/A,N/A,24,8.1,-16.4,4,3.4,1,88,61,92,N/A,N/A,N/A,66,80,52,80,12.2,23.7,81,N/A,N/A,69,87.5,92.1,49,41.6,41.9,51,25.4,25.6,37,94.2,92.5
12,N/A,01073002306,Jefferson County,Alabama,2021,60,60,61,71,74,68,68,0,7,80,25.7,103.4,34,4.1,2.5,59,73.3,75.6,83,89.1,95.4,98,55.6,84.6,56,59,54,34,5.3,-5.2,61,N/A,N/A,82,7.1,71.7,14,5,2.2,95,59,96,N/A,N/A,N/A,54,48,60,69,13.8,18.9,27,N/A,N/A,70,88.8,93.2,48,41.3,41.6,57,27.5,30.6,63,95,96.3
13,N/A,01073002306,Jefferson County,Alabama,2022,56,53,59,73,75,71,72,-0.3,10.3,78,31.6,95.8,34,4.1,2.5,68,72.9,77.5,84,90.6,96.3,99,56.3,86.9,44,37,50,59,-15,-14.1,27,N/A,N/A,25,17.9,-8.2,4,5.1,1.3,97,60,98,N/A,N/A,N/A,52,48,56,75,14.5,23.6,20,N/A,N/A,72,88.8,93.5,31,41.3,44.6,58,27.4,31.1,61,94.9,96.1
14,N/A,01073002306,Jefferson County,Alabama,2023,59,57,61,75,74,76,71,-0.5,10.2,76,48.8,113.1,34,4.1,2.5,78,72.2,79.6,93,91.7,98.2,99,56.7,89.4,40,27,54,29,28.8,-17.7,20,N/A,N/A,31,-8.5,-30.3,11,3.9,1.5,97,60,98,N/A,N/A,N/A,62,71,52,74,16.7,26.2,68,N/A,N/A,81,88.8,95.1,24,41.5,46.5,41,27.8,24.3,64,95,96.5
15,N/A,01073002306,Jefferson County,Alabama,2024,61,61,61,75,74,76,71,-0.5,10.2,76,48.8,113.1,34,4.1,2.5,78,72.2,79.6,93,91.7,98.2,99,56.7,89.4,48,42,54,76,-5.8,1.5,20,N/A,N/A,31,-8.5,-30.3,12,3.6,1.5,97,60,98,N/A,N/A,N/A,59,66,52,74,16.7,26.2,57,N/A,N/A,81,88.8,95.1,24,41.5,46.5,41,27.8,24.3,64,95,96.5
16,N/A,01073002000,Jefferson County,Alabama,2017,42,33,51,40,16,64,19,2.1,-5.1,14,-0.4,-19,93,4.1,21.2,69,71.2,75.7,6,82.9,54.7,90,57.6,75.8,52,47,58,18,5.9,-8.3,53,N/A,N/A,69,5.7,157.1,93,4,9.7,22,59,27,N/A,N/A,N/A,34,36,32,45,3.3,6.4,26,N/A,N/A,4,86.3,50.1,37,41.3,43.4,83,25.5,41.7,6,91.2,78.7
17,N/A,01073002000,Jefferson County,Alabama,2018,42,30,53,41,17,65,17,2.1,-6.1,17,5.4,-13,93,4.1,21.2,71,72,76.9,6,82.9,54.7,91,57,76.2,47,35,59,18,5.9,-8.3,23,N/A,N/A,65,1.6,38.9,93,4,9.7,25,60,32,N/A,N/A,N/A,36,38,35,51,5.7,11.5,25,N/A,N/A,3,86.6,46.7,49,41.5,41.7,83,25.5,41.4,6,92.3,80.6
18,N/A,01073002000,Jefferson County,Alabama,2019,46,39,52,56,48,64,27,1.8,-2.2,69,16.5,233.5,93,4.1,21.2,70,72.5,77.1,5,83.9,56,90,56.5,75.3,34,10,58,13,13.7,-6.1,9,N/A,N/A,7,8.6,-20,93,4,9.7,22,60,28,N/A,N/A,N/A,46,58,35,55,9.2,17.1,60,N/A,N/A,2,87,45.9,55,41.6,40.8,80,25.3,38.8,3,93.3,80
