N/A,META,,,,,SUMMARY,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion
,,,,,,,,
84,N/A,24005491100,Baltimore County,Maryland,2017,50,45,56
85,N/A,24005491100,Baltimore County,Maryland,2018,48,40,56
86,N/A,24005491100,Baltimore County,Maryland,2019,52,47,58
87,N/A,24510271501,Baltimore city,Maryland,2017,58,49,68
88,N/A,24510271501,Baltimore city,Maryland,2018,58,49,68
89,N/A,24510271501,Baltimore city,Maryland,2019,60,50,69
90,N/A,24510250303,Baltimore city,Maryland,2017,40,50,31
91,N/A,24510250303,Baltimore city,Maryland,2018,31,31,31
92,N/A,24510250303,Baltimore city,Maryland,2019,34,38,30
93,N/A,24510261000,Baltimore city,Maryland,2017,42,41,42
94,N/A,24510261000,Baltimore city,Maryland,2018,46,51,42
95,N/A,24510261000,Baltimore city,Maryland,2019,46,54,39
96,N/A,24510260302,Baltimore city,Maryland,2017,37,45,29
97,N/A,24510260302,Baltimore city,Maryland,2018,32,37,28
98,N/A,24510260302,Baltimore city,Maryland,2019,32,35,28
99,N/A,24510270600,Baltimore city,Maryland,2017,51,44,58
100,N/A,24510270600,Baltimore city,Maryland,2018,50,42,58
101,N/A,24510270600,Baltimore city,Maryland,2019,50,42,58
102,N/A,24005401200,Baltimore County,Maryland,2017,53,50,56
103,N/A,24005401200,Baltimore County,Maryland,2018,50,43,56
104,N/A,24005401200,Baltimore County,Maryland,2019,50,43,56
105,N/A,24510170100,Baltimore city,Maryland,2017,32,34,30
106,N/A,24510170100,Baltimore city,Maryland,2018,30,29,31
107,N/A,24510170100,Baltimore city,Maryland,2019,37,41,33
108,N/A,24510200400,Baltimore city,Maryland,2017,21,11,31
109,N/A,24510200400,Baltimore city,Maryland,2018,24,15,32
110,N/A,24510200400,Baltimore city,Maryland,2019,27,20,34
111,N/A,24510280403,Baltimore city,Maryland,2017,38,35,41
112,N/A,24510280403,Baltimore city,Maryland,2018,39,39,39
