N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
25,N/A,26163550400,Wayne County,Michigan,2018,54,50,57,52,51,54,41,2.1,3.6,61,5.4,23.5,17,4.1,1.1,41,72,69.7,82,82.9,91.9,74,57,66.7,48,48,48,59,5.9,5.7,48,N/A,N/A,36,1.6,-6.3,26,4,2.6,65,60,74,53,20.1,20.7,60,52,68,78,5.7,11.3,27,N/A,N/A,85,86.6,95.1,18,41.5,47.6,87,25.5,44.5,82,92.3,96.5
26,N/A,26163550400,Wayne County,Michigan,2019,50,44,57,51,49,53,41,1.8,3.2,57,16.5,32.6,17,4.1,1.1,49,72.5,72.3,80,83.9,91.9,65,56.5,62.6,42,35,50,37,13.7,2.7,39,N/A,N/A,28,8.6,-6.8,26,4,2.6,70,60,79,53,20.1,20.7,58,48,68,66,9.2,10.1,29,N/A,N/A,84,87,94.9,17,41.6,48,87,25.3,44.1,85,93.3,97.4
27,N/A,26163550400,Wayne County,Michigan,2020,56,52,60,48,44,51,35,1.5,1.5,52,25.2,35.8,17,4.1,1.1,56,72.8,74.1,75,84.9,91.2,56,55.8,58.3,54,49,58,47,7.4,1.7,52,N/A,N/A,47,8.1,7.3,49,3.4,3.4,77,61,84,49,20.6,20.4,66,62,70,59,12.2,10.6,65,N/A,N/A,85,87.5,95.2,21,41.6,47,90,25.4,47.2,85,94.2,97.8
28,N/A,26163550400,Wayne County,Michigan,2021,57,47,67,43,33,53,24,0,-3.3,42,25.7,22.5,17,4.1,1.1,71,73.3,78.6,64,89.1,91.9,60,55.6,59.6,69,67,71,52,5.3,2.6,71,N/A,N/A,78,7.1,61,72,5,7.5,88,59,91,52,20.6,21,58,40,76,48,13.8,7.7,31,N/A,N/A,88,88.8,96.4,34,41.3,44,96,27.5,69.2,88,95,98.6
29,N/A,26163550400,Wayne County,Michigan,2022,56,46,65,46,39,52,29,-0.3,-2.1,49,31.6,38.8,17,4.1,1.1,73,72.9,78.7,59,90.6,92.2,61,56.3,60.7,62,53,70,69,-15,-10,71,N/A,N/A,19,17.9,-12.6,63,5.1,6.5,85,60,89,62,21.1,23.5,60,46,74,50,14.5,8.7,42,N/A,N/A,96,88.8,98.2,20,41.3,47.2,93,27.4,60.7,85,94.9,98.4
30,N/A,26163550400,Wayne County,Michigan,2023,54,43,64,40,32,48,37,-0.5,0,28,48.8,21.4,17,4.1,1.1,81,72.2,80.5,41,91.7,90,54,56.7,58.3,62,52,73,56,28.8,25.9,43,N/A,N/A,57,-8.5,-2.4,72,3.9,5.9,85,60,89,62,20.7,23.3,58,44,72,57,16.7,13.5,32,N/A,N/A,95,88.8,97.9,22,41.5,46.9,91,27.8,57.6,82,95,98.2
31,N/A,26163550400,Wayne County,Michigan,2024,56,48,65,40,32,48,37,-0.5,0,28,48.8,21.4,17,4.1,1.1,81,72.2,80.5,41,91.7,90,54,56.7,58.3,68,61,74,64,-5.8,-4.4,61,N/A,N/A,57,-8.5,-2.4,70,3.6,5.4,85,60,89,66,1.3,1.8,61,50,72,57,16.7,13.5,44,N/A,N/A,95,88.8,97.9,22,41.5,46.9,91,27.8,57.6,82,95,98.2
32,N/A,26163543900,Wayne County,Michigan,2017,20,14,26,33,13,53,24,2.1,-0.2,2,-0.4,-56.4,89,4.1,16.7,27,71.2,65.3,3,82.9,48.2,92,57.6,77.7,4,6,2,1,5.9,-33.3,N/A,N/A,N/A,12,5.7,-12.5,N/A,N/A,N/A,2,59,2,3,20.1,6.1,22,23,22,23,3.3,-1.9,N/A,N/A,N/A,13,86.3,65,42,41.3,42.6,25,25.5,16.5,7,91.2,79.2
33,N/A,26163543900,Wayne County,Michigan,2018,24,22,25,42,31,53,61,2.1,13.1,1,5.4,-100,89,4.1,16.7,32,72,67.5,3,82.9,48.2,88,57,73.8,16,30,2,1,5.9,-33.3,N/A,N/A,N/A,60,1.6,28.6,N/A,N/A,N/A,2,60,2,3,20.1,6.1,12,5,20,5,5.7,-16.5,N/A,N/A,N/A,6,86.6,56.1,25,41.5,45.8,38,25.5,20.9,10,92.3,82.7
34,N/A,26163543900,Wayne County,Michigan,2019,24,24,23,42,33,51,65,1.8,21,1,16.5,-100,89,4.1,16.7,22,72.5,65,7,83.9,58.4,86,56.5,72.2,19,36,2,67,13.7,150,N/A,N/A,N/A,4,8.6,-22.2,N/A,N/A,N/A,1,60,1,3,20.1,6.1,10,4,17,4,9.2,-29.4,N/A,N/A,N/A,3,87,47.3,30,41.6,45.1,19,25.3,13.8,16,93.3,86.8
35,N/A,26163543900,Wayne County,Michigan,2020,30,34,25,41,32,50,62,1.5,13.7,1,25.2,-100,89,4.1,16.7,25,72.8,66,10,84.9,64.6,78,55.8,67.6,34,66,2,65,7.4,60,N/A,N/A,N/A,66,8.1,71.4,N/A,N/A,N/A,1,61,1,3,20.6,6.3,13,4,22,4,12.2,-23.4,N/A,N/A,N/A,2,87.5,46.7,46,41.6,42.3,26,25.4,16.4,15,94.2,87.8
36,N/A,26163543900,Wayne County,Michigan,2021,25,21,29,56,57,54,57,0,8.8,N/A,25.7,N/A,89,4.1,16.7,50,73.3,73.3,33,89.1,84.7,43,55.6,52.8,1,0,2,0,5.3,-50,N/A,N/A,N/A,1,7.1,-50,N/A,N/A,N/A,1,59,2,4,20.6,7.2,18,5,32,5,13.8,-10.9,N/A,N/A,N/A,2,88.8,47.8,68,41.3,38.3,29,27.5,19.1,31,95,92.3
37,N/A,26163543900,Wayne County,Michigan,2022,42,46,39,49,45,53,45,-0.3,3.5,N/A,31.6,N/A,89,4.1,16.7,77,72.9,80,39,90.6,88.3,8,56.3,33.3,21,40,2,14,-15,-25,N/A,N/A,N/A,65,17.9,100,N/A,N/A,N/A,1,60,1,4,21.1,7.8,58,53,62,53,14.5,22.3,N/A,N/A,N/A,N/A,88.8,N/A,93,41.3,33.3,57,27.4,30.8,37,94.9,93.2
38,N/A,26163543900,Wayne County,Michigan,2023,46,52,41,56,59,52,59,-0.5,12.1,N/A,48.8,N/A,89,4.1,16.7,65,72.2,76,46,91.7,91,10,56.7,36.1,20,38,2,66,28.8,200,N/A,N/A,N/A,10,-8.5,-39.7,N/A,N/A,N/A,1,60,1,3,20.7,7.3,65,60,70,60,16.7,31.1,N/A,N/A,N/A,N/A,88.8,N/A,75,41.5,37.4,N/A,27.8,N/A,66,95,96.7
39,N/A,26163543900,Wayne County,Michigan,2024,42,42,43,56,59,52,59,-0.5,12.1,N/A,48.8,N/A,89,4.1,16.7,65,72.2,76,46,91.7,91,10,56.7,36.1,6,6,7,1,-5.8,-33.3,N/A,N/A,N/A,10,-8.5,-39.7,N/A,N/A,N/A,1,60,1,13,1.3,0.4,65,60,70,60,16.7,31.1,N/A,N/A,N/A,N/A,88.8,N/A,75,41.5,37.4,N/A,27.8,N/A,66,95,96.7
40,N/A,26163512200,Wayne County,Michigan,2017,28,30,26,42,34,49,66,2.1,21.1,1,-0.4,-100,84,4.1,13.1,100,71.2,97.9,1,82.9,39.1,12,57.6,39.4,13,25,1,21,5.9,0,28,N/A,N/A,26,5.7,0,N/A,N/A,N/A,0,59,0,2,20.1,3.7,30,32,29,21,3.3,-1,44,N/A,N/A,0,86.3,16.4,11,41.3,49.9,80,25.5,39.8,24,91.2,85.9
41,N/A,26163512200,Wayne County,Michigan,2018,31,35,27,40,32,49,64,2.1,17.4,1,5.4,-100,84,4.1,13.1,100,72,100,1,82.9,39.1,10,57,37.3,20,38,1,21,5.9,0,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,60,0,2,20.1,3.7,32,34,30,33,5.7,5.7,36,N/A,N/A,0,86.6,17.4,11,41.5,50.1,73,25.5,34.9,37,92.3,90.2
42,N/A,26163512200,Wayne County,Michigan,2019,36,45,27,36,22,50,43,1.8,4,1,16.5,-100,84,4.1,13.1,100,72.5,100,1,83.9,43.1,13,56.5,39,33,65,1,57,13.7,33.3,71,N/A,N/A,66,8.6,100,N/A,N/A,N/A,0,60,0,2,20.1,3.7,38,48,29,38,9.2,11,57,N/A,N/A,0,87,17.8,9,41.6,51.1,48,25.3,24.5,58,93.3,94.3
43,N/A,26163512200,Wayne County,Michigan,2020,28,29,26,27,4,50,4,1.5,-10.7,N/A,25.2,N/A,84,4.1,13.1,100,72.8,100,1,84.9,46,14,55.8,38.9,14,26,1,17,7.4,0,41,N/A,N/A,21,8.1,0,N/A,N/A,N/A,0,61,0,2,20.6,2.8,42,58,26,59,12.2,26,56,N/A,N/A,1,87.5,19.2,9,41.6,51.1,27,25.4,17.1,68,94.2,96.1
44,N/A,26163512200,Wayne County,Michigan,2021,40,59,20,56,67,46,67,0,45.4,N/A,25.7,N/A,84,4.1,13.1,50,73.3,73.2,19,89.1,79.3,31,55.6,47.9,26,51,2,66,5.3,100,22,N/A,N/A,66,7.1,200,N/A,N/A,N/A,1,59,1,2,20.6,3.5,36,60,11,66,13.8,56.3,54,N/A,N/A,4,88.8,55.7,20,41.3,47.2,3,27.5,6,18,95,89.4
45,N/A,26163512200,Wayne County,Michigan,2022,31,40,22,57,68,46,68,-0.3,91.1,N/A,31.6,N/A,84,4.1,13.1,59,72.9,75.2,11,90.6,77,31,56.3,48.5,6,10,2,3,-15,-37.5,24,N/A,N/A,3,17.9,-16.7,N/A,N/A,N/A,2,60,2,2,21.1,5.2,30,42,18,67,14.5,94.7,18,N/A,N/A,5,88.8,59.2,36,41.3,43.7,N/A,27.4,N/A,13,94.9,87.3
46,N/A,26163512200,Wayne County,Michigan,2023,45,59,31,65,68,62,68,-0.5,107.9,N/A,48.8,N/A,84,4.1,13.1,76,72.2,78.9,17,91.7,82.7,73,56.7,66.5,25,48,2,66,28.8,160,12,N/A,N/A,67,-8.5,223.3,N/A,N/A,N/A,2,60,2,2,20.7,5.2,46,62,30,67,16.7,119.9,56,N/A,N/A,5,88.8,59.6,28,41.5,45.5,69,27.8,37,18,95,89.2
47,N/A,26163512200,Wayne County,Michigan,2024,42,52,31,65,68,62,68,-0.5,107.9,N/A,48.8,N/A,84,4.1,13.1,76,72.2,78.9,17,91.7,82.7,73,56.7,66.5,16,29,2,8,-5.8,-15.4,11,N/A,N/A,67,-8.5,223.3,N/A,N/A,N/A,2,60,2,N/A,N/A,N/A,44,58,30,67,16.7,119.9,50,N/A,N/A,5,88.8,59.6,28,41.5,45.5,69,27.8,37,18,95,89.2
48,N/A,26163573600,Wayne County,Michigan,2017,41,57,25,40,44,37,66,2.1,3,22,-0.4,-16.5,25,4.1,1.7,27,71.2,65.2,8,82.9,58.6,89,57.6,75.6,47,67,27,36,5.9,-5,78,N/A,N/A,88,5.7,37.9,1,4,0.9,4,59,4,75,20.1,25.8,36,59,12,64,3.3,21.6,54,N/A,N/A,3,86.3,46.5,11,41.3,49.9,7,25.5,7.3,26,91.2,86.3
