N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
9,N/A,28049001400,Hinds County,Mississippi,2018,62,56,69,58,44,73,52,1.4,4.8,35,3.1,-24.5,75,3.1,7.6,54,77.1,78,73,78.6,85.4,89,73.8,87,78,77,79,74,4.1,9.6,80,N/A,N/A,77,0,9.1,41,4.2,3.5,98,48,96,97,20.3,36.2,52,48,55,38,5.1,-8.5,59,N/A,N/A,68,84,89.3,13,41.6,48.9,44,22.9,21,96,91.2,98.1
10,N/A,28049001400,Hinds County,Mississippi,2019,60,50,70,61,48,74,62,1.2,8.5,34,10.8,-22.7,75,3.1,7.6,53,77.5,78.1,75,79.7,86.8,91,73.6,87.7,66,54,78,70,13.3,16.4,48,N/A,N/A,43,6.6,-13.8,41,4.2,3.5,97,48,95,97,20.3,36.2,52,47,57,35,8.3,-10.9,59,N/A,N/A,70,84.4,90,12,41.7,49.7,56,22.9,24.9,90,92.3,97.4
11,N/A,28049001400,Hinds County,Mississippi,2020,62,56,67,64,55,74,68,1,13,42,17.5,-2.5,75,3.1,7.6,48,77.8,77.5,81,80.8,89.2,94,73,89.2,66,63,70,76,6.7,13.1,56,N/A,N/A,57,7.4,0.7,16,3.6,1.8,98,48,95,95,20.6,34.5,54,50,57,34,11.1,-15.4,67,N/A,N/A,67,84.9,89.5,9,41.8,51.2,68,23,29.8,83,93.2,96.9
12,N/A,28049001400,Hinds County,Mississippi,2021,64,60,67,75,63,87,68,-0.7,12.5,58,15.9,11.4,75,3.1,7.6,84,78.5,85.6,89,85.9,94.6,99,72.5,94.4,68,68,67,58,5.4,3.6,50,N/A,N/A,96,11.2,74.4,24,5.1,3,81,47,76,95,20.6,33.8,48,48,48,35,12.4,-7,60,N/A,N/A,59,86.3,88.6,8,41.3,52,56,25.3,27.8,67,94.1,95.9
13,N/A,28049001400,Hinds County,Mississippi,2022,60,54,67,74,64,83,66,-0.8,10.9,61,21.5,20.3,75,3.1,7.6,66,77.9,81.3,93,87.6,96.5,97,72.6,92.4,58,46,69,41,-11.8,-24,63,N/A,N/A,35,13.3,-22.7,23,4.9,2.8,88,46,82,95,20.9,34.3,50,52,48,52,13.1,7.2,52,N/A,N/A,66,86.4,90.5,2,41.4,58.1,52,25.2,26,73,94,96.5
14,N/A,28049001400,Hinds County,Mississippi,2023,64,63,66,76,68,84,59,-0.9,6.7,76,40.3,66.2,75,3.1,7.6,67,77.4,80.8,96,88.8,97.7,96,72.8,91.3,62,57,66,68,27.6,31.6,53,N/A,N/A,51,-8.7,-23.9,15,3.8,1.7,88,46,82,94,20.7,33.2,56,64,48,88,15.1,28.3,40,N/A,N/A,65,86.3,90.1,2,41.5,58,37,25.3,20.5,87,93.9,97.9
15,N/A,28049001400,Hinds County,Mississippi,2024,67,67,67,76,68,84,59,-0.9,6.7,76,40.3,66.2,75,3.1,7.6,67,77.4,80.8,96,88.8,97.7,96,72.8,91.3,60,52,69,49,-4.9,-9,57,N/A,N/A,51,-8.7,-23.9,29,3.6,2.4,88,46,82,91,1.1,3.1,64,80,48,88,15.1,28.3,71,N/A,N/A,65,86.3,90.1,2,41.5,58,37,25.3,20.5,87,93.9,97.9
16,N/A,28049002500,Hinds County,Mississippi,2017,30,31,29,25,13,37,5,1.5,-19.4,21,-1.2,-11.4,23,3.1,1,65,76.5,79.3,6,78.6,52.2,54,74.1,75.4,36,35,36,2,4.1,-33.3,N/A,N/A,N/A,68,4.5,257.1,87,4.2,8.3,14,48,13,8,20.3,10.5,30,46,14,46,3,6.2,N/A,N/A,N/A,13,83.7,60.8,9,41.4,50.6,31,23.1,16.9,5,90,77
17,N/A,28049002500,Hinds County,Mississippi,2018,28,28,27,22,10,33,5,1.4,-18.7,15,3.1,-14.8,23,3.1,1,49,77.1,77,6,78.6,52.2,54,73.8,75.1,32,30,35,2,4.1,-33.3,N/A,N/A,N/A,57,0,22.2,87,4.2,8.3,10,48,10,8,20.3,10.5,29,45,13,45,5.1,7.9,N/A,N/A,N/A,14,84,62.5,10,41.6,50.3,25,22.9,14.8,3,91.2,76.2
18,N/A,28049002500,Hinds County,Mississippi,2019,29,30,28,24,17,32,6,1.2,-14.7,28,10.8,4.5,23,3.1,1,36,77.5,74.8,8,79.7,57.1,62,73.6,77.4,31,28,34,47,13.3,20,N/A,N/A,N/A,9,6.6,-18.2,87,4.2,8.3,8,48,8,8,20.3,10.5,32,46,18,46,8.3,11.6,N/A,N/A,N/A,16,84.4,66,15,41.7,48.4,39,22.9,19.4,4,92.3,78.3
