N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
9,N/A,13121005200,Fulton County,Georgia,2018,67,72,62,69,84,54,88,2.1,22.5,80,5.4,35.9,54,4.1,4.7,67,72,75.8,52,82.9,83.6,45,57,55,71,77,65,85,5.9,37.9,66,N/A,N/A,79,1.6,16,31,4,2.9,97,60,98,68,20.1,23.8,60,54,66,70,5.7,9.4,38,N/A,N/A,46,86.6,85.2,73,41.5,38.1,87,25.5,44.7,57,92.3,93.3
10,N/A,13121005200,Fulton County,Georgia,2019,66,70,62,66,79,53,85,1.8,15.2,73,16.5,37,54,4.1,4.7,63,72.5,75.6,51,83.9,84.3,43,56.5,53.6,72,77,66,87,13.7,53.8,81,N/A,N/A,62,8.6,9.6,31,4,2.9,98,60,99,68,20.1,23.8,60,54,67,80,9.2,18.4,27,N/A,N/A,50,87,87,76,41.6,37.7,91,25.3,48.7,50,93.3,93.4
11,N/A,13121005200,Fulton County,Georgia,2020,66,70,62,60,68,53,65,1.5,3.8,70,25.2,43.1,54,4.1,4.7,67,72.8,76.7,51,84.9,85.3,40,55.8,52,68,68,69,77,7.4,20.7,79,N/A,N/A,47,8.1,-0.5,41,3.4,3,98,61,99,67,20.6,24.1,68,74,63,85,12.2,26,64,N/A,N/A,53,87.5,88.4,67,41.6,39.2,93,25.4,51.3,40,94.2,93
12,N/A,13121005200,Fulton County,Georgia,2021,62,59,64,60,59,60,39,0,-5.9,79,25.7,67.3,54,4.1,4.7,82,73.3,81.4,71,89.1,93.2,34,55.6,48.9,66,59,72,55,5.3,4.7,57,N/A,N/A,65,7.1,11,44,5,4.5,99,59,99,74,20.6,26,58,58,59,85,13.8,28.8,31,N/A,N/A,67,88.8,92.5,52,41.3,41,86,27.5,49.9,30,95,92.1
13,N/A,13121005200,Fulton County,Georgia,2022,62,58,65,58,57,59,35,-0.3,-10.2,79,31.6,76,54,4.1,4.7,87,72.9,83.1,69,90.6,93.9,25,56.3,45.9,62,48,77,41,-15,-22.6,46,N/A,N/A,57,17.9,14.4,57,5.1,5.8,99,60,100,75,21.1,26.7,64,68,60,81,14.5,26.1,55,N/A,N/A,49,88.8,88.6,44,41.3,42.2,90,27.4,54.8,55,94.9,95.5
14,N/A,13121005200,Fulton County,Georgia,2023,61,54,68,59,58,60,37,-0.5,-9.6,79,48.8,97.5,54,4.1,4.7,96,72.2,86.6,62,91.7,93.6,29,56.7,48.3,66,49,83,53,28.8,25.5,28,N/A,N/A,67,-8.5,-3.9,71,3.9,5.8,99,60,100,78,20.7,27.2,57,54,60,84,16.7,33,25,N/A,N/A,51,88.8,89,33,41.5,44.5,85,27.8,50.4,73,95,97.3
15,N/A,13121005200,Fulton County,Georgia,2024,62,56,69,59,58,60,37,-0.5,-9.6,79,48.8,97.5,54,4.1,4.7,96,72.2,86.6,62,91.7,93.6,29,56.7,48.3,66,45,86,40,-5.8,-11,29,N/A,N/A,67,-8.5,-3.9,69,3.6,5.2,99,60,100,89,1.3,3.3,62,64,60,84,16.7,33,44,N/A,N/A,51,88.8,89,33,41.5,44.5,85,27.8,50.4,73,95,97.3
16,N/A,13121006000,Fulton County,Georgia,2017,42,55,28,34,28,40,33,2.1,-0.4,24,-0.4,-11.5,72,4.1,8.3,36,71.2,67.8,11,82.9,61.7,42,57.6,54.4,48,77,20,74,5.9,29.3,84,N/A,N/A,74,5.7,131.2,7,4,1.4,18,59,22,36,20.1,17.5,42,59,24,53,3.3,8.5,65,N/A,N/A,9,86.3,60.1,32,41.3,44.2,52,25.5,26.4,4,91.2,76.7
17,N/A,13121006000,Fulton County,Georgia,2018,40,53,28,45,51,39,61,2.1,7.2,41,5.4,7.3,72,4.1,8.3,37,72,68.8,11,82.9,61.7,37,57,51.7,38,56,20,74,5.9,29.3,65,N/A,N/A,30,1.6,-5.4,7,4,1.4,17,60,21,36,20.1,17.5,38,52,24,55,5.7,12.5,49,N/A,N/A,11,86.6,63,45,41.5,42.3,37,25.5,20.8,5,92.3,79.4
18,N/A,13121006000,Fulton County,Georgia,2019,46,64,29,54,68,40,67,1.8,9.8,68,16.5,83.7,72,4.1,8.3,48,72.5,72.1,13,83.9,66.6,29,56.5,47.9,48,73,22,71,13.7,30.2,75,N/A,N/A,73,8.6,65.7,7,4,1.4,24,60,31,36,20.1,17.5,38,50,25,66,9.2,24.8,35,N/A,N/A,18,87,71.1,50,41.6,41.6,26,25.3,16.5,7,93.3,82.9
