city,county_fips,STNAME,county_name,total_pop,black_pop,black_pct,igs_avg_2017_2024,igs_avg_2020_2024
South Fulton (proxy: Fulton County),13121,Georgia,Fulton,1090354.0,488905.0,44.84,49.184815950920246,48.84662576687116
South Fulton (proxy: Fulton County),13121,Georgia,Fulton,1083971.0,487001.0,44.93,49.184815950920246,48.84662576687116
South Fulton (proxy: Fulton County),13121,Georgia,Fulton,1076569.0,483361.0,44.9,49.184815950920246,48.84662576687116
South Fulton (proxy: Fulton County),13121,Georgia,Fulton,1062576.0,474933.0,44.7,49.184815950920246,48.84662576687116
South Fulton (proxy: Fulton County),13121,Georgia,Fulton,1069333.0,474809.0,44.4,49.184815950920246,48.84662576687116
South Fulton (proxy: Fulton County),13121,Georgia,Fulton,1066546.0,473311.0,44.38,49.184815950920246,48.84662576687116
Baltimore,24510,Maryland,Baltimore city,583189.0,360091.0,61.75,42.74149377593361,43.03618257261411
Baltimore,24510,Maryland,Baltimore city,585720.0,361799.0,61.77,42.74149377593361,43.03618257261411
Baltimore,24510,Maryland,Baltimore city,576575.0,355616.0,61.68,42.74149377593361,43.03618257261411
Baltimore,24510,Maryland,Baltimore city,570663.0,350757.0,61.46,42.74149377593361,43.03618257261411
Baltimore,24510,Maryland,Baltimore city,567517.0,347044.0,61.15,42.74149377593361,43.03618257261411
Baltimore,24510,Maryland,Baltimore city,568271.0,344616.0,60.64,42.74149377593361,43.03618257261411
Jackson,28049,Mississippi,Hinds,217383.0,159296.0,73.28,42.416015625,42.521875
Jackson,28049,Mississippi,Hinds,227739.0,166487.0,73.1,42.416015625,42.521875
Jackson,28049,Mississippi,Hinds,226772.0,165843.0,73.13,42.416015625,42.521875
Jackson,28049,Mississippi,Hinds,222017.0,162594.0,73.23,42.416015625,42.521875
Jackson,28049,Mississippi,Hinds,214517.0,157041.0,73.21,42.416015625,42.521875
Jackson,28049,Mississippi,Hinds,211975.0,155509.0,73.36,42.416015625,42.521875
New Orleans,22071,,,,,,42.18267734570839,41.78782412060301
Memphis,47157,Tennessee,Shelby,913909.0,492473.0,53.89,41.90532178217822,41.73168316831683
Memphis,47157,Tennessee,Shelby,910530.0,489593.0,53.77,41.90532178217822,41.73168316831683
Memphis,47157,Tennessee,Shelby,929788.0,501100.0,53.89,41.90532178217822,41.73168316831683
Memphis,47157,Tennessee,Shelby,918382.0,495757.0,53.98,41.90532178217822,41.73168316831683
Memphis,47157,Tennessee,Shelby,923255.0,498390.0,53.98,41.90532178217822,41.73168316831683
Memphis,47157,Tennessee,Shelby,930015.0,501008.0,53.87,41.90532178217822,41.73168316831683
Detroit,26163,Michigan,Wayne,1763011.0,674116.0,38.24,36.298899672896724,37.88145546372819
Detroit,26163,Michigan,Wayne,1793896.0,693305.0,38.65,36.298899672896724,37.88145546372819
Detroit,26163,Michigan,Wayne,1789655.0,690633.0,38.59,36.298899672896724,37.88145546372819
Detroit,26163,Michigan,Wayne,1771063.0,664151.0,37.5,36.298899672896724,37.88145546372819
Detroit,26163,Michigan,Wayne,1762371.0,667821.0,37.89,36.298899672896724,37.88145546372819
Detroit,26163,Michigan,Wayne,1775196.0,683233.0,38.49,36.298899672896724,37.88145546372819
Birmingham,01073,Alabama,Jefferson,674311.0,292001.0,43.3,,
Birmingham,01073,Alabama,Jefferson,674727.0,292049.0,43.28,,
Birmingham,01073,Alabama,Jefferson,669677.0,290334.0,43.35,,
Birmingham,01073,Alabama,Jefferson,665543.0,288440.0,43.34,,
Birmingham,01073,Alabama,Jefferson,664084.0,287130.0,43.24,,
Birmingham,01073,Alabama,Jefferson,664744.0,286820.0,43.15,,
